identifiant_a,libelle_du_site,caracteristique_du_site,site_acores_de_rattachement,adresse,complement_d_adresse,lieu_dit,code_postal,localite,code_insee,pays,latitude,longitude,numero_de_telephone
17048D,AVIGNON SAINT RUF RP,Relais poste,15830A,16 BIS AVENUE SAINT RUF,,,84000,AVIGNON,84007,FRANCE,43.9402,4.8097,3631
17049A,MASSY JULES FERRY BP,Bureau de Poste,,23 RUE MARX DORMOY,,,91300,MASSY,91377,FRANCE,48.730992,2.274961,3631
17050A,MONTGERON BP LA FORET BP,Bureau de Poste,,CENTRE COMMERCIAL LA FORET,,,91230,MONTGERON,91421,FRANCE,48.696593,2.456571,3631
17051A,ETAMPES GUINETTE BP,Bureau de Poste,,AVENUE DES MEUNIERS,,,91150,ETAMPES,91223,FRANCE,48.43578,2.146555,3631
17052A,SAINTE GENEVIEVE DES BOIS GARE BP,Bureau de Poste,,68 AVENUE GABRIEL PERI,,,91700,STE GENEVIEVE DES BOIS,91549,FRANCE,48.649192,2.319731,3631
17055A,BRUNOY LES PROVINCIALES BP,Bureau de Poste,,RUE DE CERCAY,CENTRE COMMERCIAL HAUTS DE MARDELLES,,91800,BRUNOY,91114,FRANCE,48.709295,2.519347,3631
17055D,LPR LYON VITTON RP,Relais poste,13184A,48 COURS VITTON,CARREFOUR EXPRESS,,69006,LYON,69386,FRANCE,45.7696,4.8544,3631
17056A,MASSY VILLAINE BP,Bureau de Poste,,6 ALLEE ALBERT THOMAS,,,91300,MASSY,91377,FRANCE,48.734894,2.262061,3631
17056D,PESMES AP,Agence postale communale,13348A,11 GRANDE RUE,,,70140,PESMES,70408,FRANCE,47.2799,5.5633,3631
17057D,GIF SUR YVETTE LPR LE COUPIERES RP,Relais poste,16952A,27 RUE JULIETTE ADAM,LE COUPIERES,,91190,GIF SUR YVETTE,91272,FRANCE,48.7017,2.1268,3631
17058D,BONNEUIL MATOURS LPA AP,Agence postale communale,16242A,RUE DE LA POSTE,,,86210,BONNEUIL MATOURS,86032,FRANCE,46.6815,0.5718,3631
